"Customweb_Subscription::%s %s cycle","%s %s ciclo"
"Customweb_Subscription::Subscription End","Fin de la suscripción"
"Customweb_Subscription::Subscription Failure Email","Subscription Failure Email"
"Customweb_Subscription::Subscription Guest Order Email","Subscription Guest Order Email"
"Customweb_Subscription::Subscription Information","Información de suscripción"
"Customweb_Subscription::Subscription Invoice","Subscription Invoice"
"Customweb_Subscription::Subscription Order Email","Subscription Order Email"
"Customweb_Subscription::Subscription Pending Email","Subscription Pending Email"
"Customweb_Subscription::Subscription Plans","Subscription Plans"
"Customweb_Subscription::Subscription Prepayment","Subscription Prepayment"
"Customweb_Subscription::Subscription Recurring Guest Order Email","Subscription Recurring Guest Order Email"
"Customweb_Subscription::Subscription Recurring Order Email","Subscription Recurring Order Email"
"Customweb_Subscription::Subscription Reminder Email","Email recordatorio para la suscripción"
"Customweb_Subscription::Subscription Update Email","Subscription Update Email"
"Customweb_Subscription::Subscription View","Mostra suscripciónes"
"Customweb_Subscription::Subscriptions","Suscripciones"
"Customweb_Subscription::Subscriptions can be purchased standalone only. To proceed please remove other items from the quote.","Las suscripciones sólo se pueden comprar 'independiente'. Para proceder por favor quitar otros productos de la carreta."
"Customweb_Subscription::Subtotal","Total parcial"
"Customweb_Subscription::Success","Exito"
"Customweb_Subscription::Successful","Con éxito"
"Customweb_Subscription::Support","Support"
"Customweb_Subscription::Suspend","Suspender"
"Customweb_Subscription::Suspend on Pending Payment","Suspend on Pending Payment"
"Customweb_Subscription::Suspended","Suspendido"
"Customweb_Subscription::Tax","Impuesto"
"Customweb_Subscription::Tax Amount","Total de impuestos"
"Customweb_Subscription::Test Mode","Test Mode"
"Customweb_Subscription::Test Transaction","Test Transaction"
"Customweb_Subscription::The Cancelation Email Template will be sent to inform the customer after has canceled a subscription.","The Cancelation Email Template will be sent to inform the customer after has canceled a subscription."
"Customweb_Subscription::The Cancelation Request Email Template will be sent to inform the customer after has requested the cancelation of a subscription.","The Cancelation Request Email Template will be sent to inform the customer after has requested the cancelation of a subscription."
"Customweb_Subscription::The Failure Email Template will be sent to inform the customer after the payment has failed at due date. The subscription will be on hold and can only be reactivated in the backend.","The Failure Email Template will be sent to inform the customer after the payment has failed at due date. The subscription will be on hold and can only be reactivated in the backend."
"Customweb_Subscription::The Guest Order Email Template will replace the default email template that is sent to the guest customer after placing an order. It will include information about the subscription.","The Guest Order Email Template will replace the default email template that is sent to the guest customer after placing an order. It will include information about the subscription."
"Customweb_Subscription::The HMAC key as defined in the live backoffice of ____paymentServiceProviderName____. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of ____paymentServiceProviderName____. You may need generate the HMAC key. Please take a look at the manual how to do this."
"Customweb_Subscription::The Order Email Template will replace the default email template that is sent to the customer after placing an order. It will include information about the subscription.","The Order Email Template will replace the default email template that is sent to the customer after placing an order. It will include information about the subscription."
"Customweb_Subscription::The Pending Email will be sent to notify a customer that his payment is due. The template contains a payment link that allows your customer to pay for the next cycle. You can edit the templates yourself under System > Transactional Emails.","Este e-mail será enviado a notificar a un cliente que su pago es debido. La plantilla contiene un enlace de pago que permite al cliente pagar para el siguiente ciclo. La plantilla se puede modificar en System > Transactional Emails."
"Customweb_Subscription::The Recurring Guest Order Email Template will replace the default email template that is sent to the guest customer after a recurring order is created. It will include information about the subscription.","The Recurring Guest Order Email Template will replace the default email template that is sent to the guest customer after a recurring order is created. It will include information about the subscription."
"Customweb_Subscription::The Recurring Order Email Template will replace the default email template that is sent to the customer after a recurring order is created. It will include information about the subscription.","The Recurring Order Email Template will replace the default email template that is sent to the customer after a recurring order is created. It will include information about the subscription."
"Customweb_Subscription::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","El esquema de mandato SEPA no contiene la etiqueta '!tag'. Se requiere esta etiqueta."
"Customweb_Subscription::The Update Email Template will be sent whenever the payment authorization fails due to various reasons. It tells the customer to update his payment information by clicking on the provided payment link.","Este correo electrónico será enviado cada vez que la autorización de pago ha fallado. Dice al cliente de actualizar su información de pago por clic en el enlace previsto."
"Customweb_Subscription::The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"Customweb_Subscription::The amount could not be verified.","The amount could not be verified."
"Customweb_Subscription::The amount of !amount is authorized.","La cantidad de cada !amount está autorizado."
"Customweb_Subscription::The amount of !amount is captured.","La cantidad de cada  !amount es capturado."
"Customweb_Subscription::The authorization method '!method' is not supported.","El método de autorización '!method' no es compatible."
"Customweb_Subscription::The authorization was not successful","The authorization was not successful"
"Customweb_Subscription::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"Customweb_Subscription::The brand with external name '!key' was not present in the map.","La marca con la tecla '!key' no se encontró en el mapa información de la tarjeta."
"Customweb_Subscription::The brand with key '!key' was not found in the card information map.","La marca con la tecla !key' no se encontró en el mapa información de la tarjeta."
"Customweb_Subscription::The cancelation request has been received.","La solicitud de cancelación se ha recibido."
"Customweb_Subscription::The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"Customweb_Subscription::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La cantidad de captura (!captureAmount) no puede ser mayor que el monto autorizado (!authorizedAmount)."
"Customweb_Subscription::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_Subscription::The capture item with SKU '@sku' is not present in the original order.","The capture item with SKU '@sku' is not present in the original order."
"Customweb_Subscription::The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"Customweb_Subscription::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"Customweb_Subscription::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output."
"Customweb_Subscription::The customer does not finish the payment with in the timeout.","The customer does not finish the payment with in the timeout."
"Customweb_Subscription::The given CVC code has the wrong length.","El código CVC dado tiene una longitud incorrecta."
"Customweb_Subscription::The given card number has an invalid check sum.","El número de tarjeta dada tiene una suma de comprobación no válida."
"Customweb_Subscription::The given card number has an invalid length.","El número de tarjeta dada tiene una longitud no válida."
"Customweb_Subscription::The given hmac key is empty.","The given hmac key is empty."
"Customweb_Subscription::The given identifier is empty.","The given identifier is empty."
"Customweb_Subscription::The given password is empty.","The given password is empty."
"Customweb_Subscription::The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"Customweb_Subscription::The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"Customweb_Subscription::The given site number is empty.","The given site number is empty."
"Customweb_Subscription::The identifier as defined in the backoffice of ____paymentServiceProviderName____.","The identifier as defined in the backoffice of ____paymentServiceProviderName____."
"Customweb_Subscription::The layout does not contain the tag '!layout_tag'.","La disposición no contiene la etiqueta '!layout_tag'."
"Customweb_Subscription::The link is invalid or outdated.","El enlace no es válido o no actualizados."
"Customweb_Subscription::The next update execution date indicates when the next cron is run to update the transaction state.","The next update execution date indicates when the next cron is run to update the transaction state."
"Customweb_Subscription::The number of billing cycles the subscription will keep running after the cancelation is requested.","Se pidió al número de ciclos de facturación de la suscripción seguirá funcionando después de la cancelación."
"Customweb_Subscription::The order has been captured.","El pedido ha sido contabilizado."
"Customweb_Subscription::The order is not fully completed. Please contact the store owner.","The order is not fully completed. Please contact the store owner."
"Customweb_Subscription::The parameters ""3DSIGNVAL"" was false.","The parameters ""3DSIGNVAL"" was false."
"Customweb_Subscription::The payment has been accepted.","El pago ha sido aceptado."
"Customweb_Subscription::The payment has failed.","El pago ha fallado."
"Customweb_Subscription::The payment method !paymentMethodName does not support the currency '!currency'.","La forma de pago! PaymentMethodName no soporta la moneda '!currency'."
"Customweb_Subscription::The payment method !paymentMethodName is not available in your country ('!country').","La forma de pago! PaymentMethodName no está disponible en tu país ('!country')."
"Customweb_Subscription::The provided signature does not match with the one calculated.","The provided signature does not match with the one calculated."
"Customweb_Subscription::The rang (PBX_RANG) as defined in the live backoffice of ____paymentServiceProviderName____. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","The rang (PBX_RANG) as defined in the live backoffice of ____paymentServiceProviderName____. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit."
"Customweb_Subscription::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal)."
"Customweb_Subscription::The refund item with SKU '@sku' is not present in the original order.","The refund item with SKU '@sku' is not present in the original order."
"Customweb_Subscription::The refunding could not be conducted. Error code: !error.","The refunding could not be conducted. Error code: !error."
"Customweb_Subscription::The signature could not be verified.","The signature could not be verified."
"Customweb_Subscription::The site id (PBX_RANG) as defined in the backoffice of ____paymentServiceProviderName____.","The site id (PBX_RANG) as defined in the backoffice of ____paymentServiceProviderName____."
"Customweb_Subscription::The subscription cannot be authorized.","La suscripción no puede ser autorizado."
"Customweb_Subscription::The subscription has been canceled.","La suscripción ha sido cancelada."
"Customweb_Subscription::The subscription plan was removed.","The subscription plan has been removed."
"Customweb_Subscription::The subscription status has been updated.","El estado de la suscripción se ha actualizado."
"Customweb_Subscription::The subscriptions ends automatically after the above entered number of billing cycles.","Las inscripciones finaliza automáticamente una vez transcurrido el número especificado de ciclos de facturación."
"Customweb_Subscription::The subscriptions have been deleted.","Se han eliminado las suscripciones."
"Customweb_Subscription::The subscriptions' statuses have been updated.","Estados de las suscripciones han sido actualizados."
"Customweb_Subscription::The test cron runs every minute, always increasing the date by one day.","The test cron runs every minute, always increasing the date by one day."
"Customweb_Subscription::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","La cantidad del reembolso total de (!totalRefundedAmount) no puede ser mayor que la cantidad capturada (!capturedAmount)."
"Customweb_Subscription::The transaction failed with error code !code.","The transaction failed with error code !code."
"Customweb_Subscription::The transaction is only executed in the test system. The goods should not be delivered.","The transaction is only executed in the test system. The goods should not be delivered."
"Customweb_Subscription::The whole transaction is cancelled.","Toda la operación fue cancelada."
"Customweb_Subscription::There are %s failed subscriptions.","Hay %s suscripciones fallidos."
"Customweb_Subscription::There are no applicable payment methods.","No hay métodos de pago aplicables."
"Customweb_Subscription::There are no orders yet.","There are no orders yet."
"Customweb_Subscription::There are no subscription cart plans.","No hay planes de compra de suscripción."
"Customweb_Subscription::There are no subscription plans.","No hay ningún plan de suscripción."
"Customweb_Subscription::There are no subscriptions yet.","There are no subscriptions yet."
"Customweb_Subscription::There are outdated subscriptions. Please update immediately.","Hay suscripciones obsoletas. Por favor, actualice inmediatamente."
"Customweb_Subscription::There is a failed subscription.","Hay una suscripción fallado."
"Customweb_Subscription::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the ____paymentServiceProviderName____ account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the ____paymentServiceProviderName____ account."
"Customweb_Subscription::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"Customweb_Subscription::This status is set, when the payment was successfull and it is authorized.","This status is set, when the payment was successfull and it is authorized."
"Customweb_Subscription::This subscription no longer exists.","Este abono ya no existe."
"Customweb_Subscription::This subscription status cannot be changed from <em>%s</em> to <em>%s</em>.","Este estado de la suscripción no se puede cambiar de <em>%s</em> a <em>%s</em>."
"Customweb_Subscription::This transaction is already closed for further captures.","Esta transacción ya está cerrada para otras contabilizaciones"
"Customweb_Subscription::This transaction is already closed for further refunds.","Esta operación se ha cerrado por más créditos."
"Customweb_Subscription::Time Before Due Date","Tiempo antes de la fecha de vencimiento"
"Customweb_Subscription::Time Unit","Unidad de tiempo"
"Customweb_Subscription::Titel","Titel"
"Customweb_Subscription::Title of the payment method","Title of the payment method"
"Customweb_Subscription::Total","Total"
"Customweb_Subscription::Total Recurring Amount","Importe total del pagos recurrentes"
"Customweb_Subscription::Transaction Authorized","Transacción autorizada"
"Customweb_Subscription::Transaction Cancelled","Transacción cancelada"
"Customweb_Subscription::Transaction Captured","Transacción contabilizada"
"Customweb_Subscription::Transaction Paid","Transacción pagado"
"Customweb_Subscription::Transaction Uncertain","Transacción es incierto"
"Customweb_Subscription::Transaction Updates","Transaction Updates"
"Customweb_Subscription::Type","Tipo"
"Customweb_Subscription::Uncertain Status","Uncertain Status"
"Customweb_Subscription::Unit for billing during the subscription period.","Unidad para la facturación durante el período de suscripción."
"Customweb_Subscription::Update","Actualización"
"Customweb_Subscription::Update Attributes","Actualizar atributos"
"Customweb_Subscription::Update Email Template","Plantilla de e-mail 'actualizar'"
"Customweb_Subscription::Use Default","Use Default"
"Customweb_Subscription::VISA","VISA"
"Customweb_Subscription::Version","versión"
"Customweb_Subscription::View","Vista"
"Customweb_Subscription::View list","Ver lista"
"Customweb_Subscription::Visibility","Visibilidad"
"Customweb_Subscription::Websites","Websites"
"Customweb_Subscription::Week","Semana"
"Customweb_Subscription::When the store is not available (network outage, server failure or any other outage), when the feedback of ____paymentServiceProviderName____ is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of ____paymentServiceProviderName____ is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_Subscription::Whether to use a fixed shipping amount or calculate it dynamically.","¿Quiere utilizar 'gastos de envío fijos' o calcular dinámicamente la tarifa?"
"Customweb_Subscription::Would you like to allow customers to create a subscription of their whole cart?","Would you like to allow customers to create a subscription of their whole cart?"
"Customweb_Subscription::Would you like to purchase this cart as a subscription?","¿Quiere comprar este carro, como una suscripción?"
"Customweb_Subscription::Year","Año"
"Customweb_Subscription::Yes","Sí"
"Customweb_Subscription::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_Subscription::You can specify the order status for new orders that have an uncertain authorisation status.","You can specify the order status for new orders that have an uncertain authorisation status."
"Customweb_Subscription::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","You can specify the order status for orders that are captured either directly after the order or manually in the backend."
"Customweb_Subscription::You can specify the order status when an order is cancelled.","You can specify the order status when an order is cancelled."
"Customweb_Subscription::You cannot access this subscription.","No puede acceder a esta suscripción."
"Customweb_Subscription::You do not define any plan for this subscription.","You do not define any plan for this subscription."
"Customweb_Subscription::You have to enter a card number.","Debe inserir un número de tarjeta"
"Customweb_Subscription::You have to enter bank code of your bank.","Debe introducir el código bancario"
"Customweb_Subscription::You have to enter commercial number of you company.","Usted tiene que ingresar el número comercial de su empresa."
"Customweb_Subscription::You have to enter either the CVC code or the issue number of your card.","Usted tiene que ingresar ya sea el código CVC o el número de expedición de la tarjeta."
"Customweb_Subscription::You have to enter sales tax number of you company.","Usted tiene que ingresar el número de impuesto sobre las ventas de su empresa."
"Customweb_Subscription::You have to enter sales tax number of your company.","You have to enter sales tax number of your company."
"Customweb_Subscription::You have to enter the BIC.","Entrar en el BIC."
"Customweb_Subscription::You have to enter the CVC code from your card.","Debe introducir el CVC su tarjeta."
"Customweb_Subscription::You have to enter the IBAN.","Entrar en el IBAN."
"Customweb_Subscription::You have to enter the account holder name on the card.","Usted tiene que introducir el nombre del titular de la tarjeta."
"Customweb_Subscription::You have to enter the account holder name.","Entrar en el nombre del titular de la cuenta."
"Customweb_Subscription::You have to enter the card holder name on the card.","Debe introducir el titular de la tarjeta."
"Customweb_Subscription::You have to enter the location of your bank.","Tienes que entrar en la ubicación de su banco."
"Customweb_Subscription::You have to enter the name of the account owner.","Debe introducir el titular de la cuenta bancaria"
"Customweb_Subscription::You have to enter the name of your bank.","Usted tiene que introducir el nombre de su banco."
"Customweb_Subscription::You have to enter your IBAN Number.","Tiene que introducir su número de IBAN."
"Customweb_Subscription::You have to enter your bank account number.","Debe introducir el número de cuenta de tu cuenta bancaria."
"Customweb_Subscription::You have to enter your social security number.","Tiene que introducir su número de seguro social."
"Customweb_Subscription::You may choose one of the cards you paid before on this site.","Usted puede elegir entre una de las cartas con las que usted haya pagado antes en este sitio."
"Customweb_Subscription::You selected this subscription plan:","Ha seleccionado este plan de suscripción:"
"Customweb_Subscription::You subscribed to the plan <em>%s</em>.","Se ha suscrito al plan <em>%s</em>."
"Customweb_Subscription::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Su navegador no permite la ejecución de JavaScript. Por favor, active JavaScript en su navegador y vuelva a cargar esta página."
"Customweb_Subscription::customweb ltd","customweb ltd"
"Customweb_Subscription::no","no"
"Customweb_Subscription::yes","yes"
