"Customweb_Subscription::%s %s cycle","%s %s Zyklus"
"Customweb_Subscription::Save","Speichern"
"Customweb_Subscription::Saved cards:","Gespeicherte Karten:"
"Customweb_Subscription::Schedule","Plan"
"Customweb_Subscription::Schedule Information","Plan Informationen"
"Customweb_Subscription::Select Brand","Wählen Sie den Kartentyp aus."
"Customweb_Subscription::Select a subscription plan:","Wählen Sie einen Abo-Plan"
"Customweb_Subscription::Select the authorization method to use for processing this payment method.","Wählen Sie bitte die Autorisierungsmethode für diese Zahlweise."
"Customweb_Subscription::Select the date of your birth.","Wählen Sie Ihr Geburtsdatum."
"Customweb_Subscription::Select the date on which your card expires.","Wählen Sie das Kartenablaufdatum."
"Customweb_Subscription::Select the payment methods that are allowed to be used for subscriptions.","Wählen Sie die Zahlungsmethoden, welche für Abos verwendet werden dürfen."
"Customweb_Subscription::Select the products that cannot be used in subscriptions.","Wählen Sie die Produkte, welche nicht abonniert werden können."
"Customweb_Subscription::Select the unit for the number in the previous field.","Wählen Sie die Einheit für die Nummer im vorherigen Feld aus."
"Customweb_Subscription::Select which email template should be sent as reminder. You can edit the templates yourself under System > Transactional Emails.","Wählen Sie die eMail-Vorlage aus, die sie als Erinnerung benutzen möchten. Sie können die Vorlagen ausserdem selbst unter System -Transaction Emails bearbeiten."
"Customweb_Subscription::Send Invoice Email","Rechnungs-E-Mail senden"
"Customweb_Subscription::Set the checkbox text of the subscription agreement box in the checkout review.","Setzen Sie den Text der Checkbox der Abo-Einwilligung in der Bestellübersicht."
"Customweb_Subscription::Set the sort order to show the external checkouts.","Legen Sie die Reihenfolge fest, in der externe Checkouts angezeigt werden sollen."
"Customweb_Subscription::Set the text of the subscription agreement box in the checkout review.","Setzen Sie den Text der Abo-Einwilligung in der Bestellübersicht."
"Customweb_Subscription::Set the title of the subscription agreement box in the checkout review.","Setzen Sie den Text der Abo-Einwilligung in der Bestellübersicht."
"Customweb_Subscription::Set to no, if the subscription should keep running even when a payment is pending.","Geben Sie hier nein an, wenn das Abo weiterlaufen soll, auch wenn eine Zahlung noch ausstehend ist."
"Customweb_Subscription::Set to yes, if price of a recurring payment should be recalculated - the products' current price is used and price rules are applied.","Auf Ja setzen, um den Preis bei einer wiederholten Zahlung neu zu berechnen - der aktuelle Preis des Produkts wird verwendet und Preisregeln werden angewendet."
"Customweb_Subscription::Set to yes, if the invoice email should be sent automatically after settlement.","Setzen Sie diese Option auf Ja, um automatisch die Rechnungs-E-Mail zu versenden nach dem Anlegen der Bestellung."
"Customweb_Subscription::Settlement after Order","Zahlung nach der Bestellung"
"Customweb_Subscription::Settlement after order","Erstellung nach der Bestellung"
"Customweb_Subscription::Ship to Name","An Namen liefern"
"Customweb_Subscription::Shipping","Versand"
"Customweb_Subscription::Shipping Address","Lieferadresse"
"Customweb_Subscription::Shipping Amount","Lieferkosten"
"Customweb_Subscription::Shipping Amount Type","Art des Versandbetrags"
"Customweb_Subscription::Simulate Cron","Cron simulieren"
"Customweb_Subscription::Sku","SKU"
"Customweb_Subscription::Social Security Number","Sozialversicherungsnummer"
"Customweb_Subscription::Sort Order","Sortierreihenfolgen"
"Customweb_Subscription::Start Date","Start-Datum"
"Customweb_Subscription::Started At","Begonnen am"
"Customweb_Subscription::Starting Date","Start-Datum"
"Customweb_Subscription::Status","Status"
"Customweb_Subscription::Store","Store"
"Customweb_Subscription::Subscribe now!","Jetzt anmelden!"
"Customweb_Subscription::Subscriber","Abonnent"
"Customweb_Subscription::Subscription","Abo"
"Customweb_Subscription::Subscription # %s | %s","Abo # %s | %s"
"Customweb_Subscription::Subscription #%s","Abo #%s"
"Customweb_Subscription::Subscription Cancelation Email","Abo-E-Mail Kündigung"
"Customweb_Subscription::Subscription Cancelation Request Email","Abo-E-Mail Kündigungs-Antrag"
"Customweb_Subscription::Subscription End","Abo-Ende"
"Customweb_Subscription::Subscription Failure Email","Abo-E-Mail Fehlschlag"
"Customweb_Subscription::Subscription Guest Order Email","Abo-E-Mail Gast-Bestellung"
"Customweb_Subscription::Subscription Information","Abo-Informationen"
"Customweb_Subscription::Subscription Invoice","Abo Rechnung"
"Customweb_Subscription::Subscription Order Email","Abo-E-Mail Bestellung"
"Customweb_Subscription::Subscription Pending Email","Abo-E-Mail Ausstehend"
"Customweb_Subscription::Subscription Plans","Abo-Pläne"
"Customweb_Subscription::Subscription Prepayment","Abo Vorkasse"
"Customweb_Subscription::Subscription Recurring Guest Order Email","Wiederkehrende Gast Emailbestellung"
"Customweb_Subscription::Subscription Recurring Order Email","Wiederkehrende Abonnement-Bestellungsmail"
"Customweb_Subscription::Subscription Reminder Email","Email bei Abonnements-Erinnerung"
"Customweb_Subscription::Subscription Update Email","Email zur Aboerneuerung"
"Customweb_Subscription::Subscription View","Abo-Übersicht"
"Customweb_Subscription::Subscriptions can be purchased standalone only. To proceed please remove other items from the quote.","Abo-Produkte können nicht in Kombination mit anderen Produkten gekauft werden. Bitte entfernen Sie alle anderen Produkte aus dem Warenkorb."
"Customweb_Subscription::Subscriptions:","Abos:"
"Customweb_Subscription::Subtotal","Zwischensumme"
"Customweb_Subscription::Success","Erfolgreich"
"Customweb_Subscription::Successful","Erfolgreich"
"Customweb_Subscription::Support","Support"
"Customweb_Subscription::Suspend","Unterbrechen"
"Customweb_Subscription::Suspend on Pending Payment","Ausstehende Zahlung anhalten"
"Customweb_Subscription::Suspended","Unterbrochen"
"Customweb_Subscription::Tax","MwSt."
"Customweb_Subscription::Tax Amount","Steuerbetrag"
"Customweb_Subscription::Test Mode","Test Modus"
"Customweb_Subscription::Test Transaction","Testtransaktion"
"Customweb_Subscription::The Cancelation Email Template will be sent to inform the customer after has canceled a subscription.","Diese E-Mail-Vorlage wird an den Kunden gesendet, nachdem er ein Abos gekündigt hat."
"Customweb_Subscription::The Cancelation Request Email Template will be sent to inform the customer after has requested the cancelation of a subscription.","Diese E-Mail-Vorlage wird an den Kunden gesendet, nachdem er die Kündigung eines Abos beantragt hat."
"Customweb_Subscription::The Failure Email Template will be sent to inform the customer after the payment has failed at due date. The subscription will be on hold and can only be reactivated in the backend.","Diese E-Mail-Vorlage wird dem Kunden gesendet, nachdem eine Zahlung fehlgeschlagen ist am Fälligkeitsdatum. Das Abo wird zurückgestellt und kann nur im Backend reaktiviert werden."
"Customweb_Subscription::The Guest Order Email Template will replace the default email template that is sent to the guest customer after placing an order. It will include information about the subscription.","Diese E-Mail-Vorlage ersetzt die Standard-Email-Vorlage, welche nach dem Bestellen versendet wird. So werden Informationen zum Abo eingebunden."
"Customweb_Subscription::The HMAC key as defined in the live backoffice of ____paymentServiceProviderName____. You may need generate the HMAC key. Please take a look at the manual how to do this.","Der HMAC Key ist im Live Backoffice von ____paymentServiceProviderName____ angegeben. Eventuell müssen Sie den HMAC Key noch generieren. Eine Anleitung dazu finden Sie im Manual."
"Customweb_Subscription::The Order Email Template will replace the default email template that is sent to the customer after placing an order. It will include information about the subscription.","Diese E-Mail-Vorlage ersetzt die Standard-Email-Vorlage, welche nach dem Bestellen versendet wird. So werden Informationen zum Abo eingebunden."
"Customweb_Subscription::The Pending Email will be sent to notify a customer that his payment is due. The template contains a payment link that allows your customer to pay for the next cycle. You can edit the templates yourself under System > Transactional Emails.","Das E-Mail Template 'Ausstehend' wird dem Kunden geschickt um ihn daran zu erinnern, dass eine Zahlung fällig ist. Das Template beinhaltet einen Zahlungslink, welcher es dem Kunden erlaubt den nächsten Zyklus zu bezahlen. Sie können das Template unter System > Transaktionsemails anpassen."
"Customweb_Subscription::The Recurring Guest Order Email Template will replace the default email template that is sent to the guest customer after a recurring order is created. It will include information about the subscription.","Die Standard E-Mail Vorlage, welche an den Gast Kunden gesendet wird nachdem eine wiederkehrende Bestellung erstellt wurde, wird durch die wiederkehrende Gast Bestellungs E-Mail Vorlage ersetzt.
Das Email wird auch Informationen über das Abonnement beinhalten."
"Customweb_Subscription::The Recurring Order Email Template will replace the default email template that is sent to the customer after a recurring order is created. It will include information about the subscription.","Die Standard Email-Vorlage, welche and den Kunden gesendet wird nachdem eine wiederkehrende Bestellung erstellt wird, wird durch die wiederkehrende Bestellungs Email-Vorlage ersetzt.
Es wird auch Informationen über das Abonnement beinhalten."
"Customweb_Subscription::The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Das SEPA Mandat Scheme enthält leider nich die Bezeichnung '!tag'. Diese Bezeichnung ist aber Pflicht."
"Customweb_Subscription::The Update Email Template will be sent whenever the payment authorization fails due to various reasons. It tells the customer to update his payment information by clicking on the provided payment link.","Das E-Mail Template 'Aktualisieren' wird in jedem Fall geschickt, in welchem die Autorisierung aus unterschiedlichen Gründen fehlgeschlagen ist. Es informiert den Kunden, dass er seine Zahlungsinformationen aktualisieren muss indem er auf den gegebenen Link klickt."
"Customweb_Subscription::The alias transaction could not be conductet with error code: !code, and reason: !reason:","Die Alias Transaktion konnte nicht durchgeführt werden. Fehlermeldung: !code und Grund: !reason."
"Customweb_Subscription::The amount could not be verified.","Der Betrag konnte nicht verifiziert werden."
"Customweb_Subscription::The amount of !amount is authorized.","Der Betrag von '!amount' wurde autorisiert."
"Customweb_Subscription::The amount of !amount is captured.","Der Betrag von !amount ist verbucht."
"Customweb_Subscription::The authorization method '!method' is not supported.","Die Autorisierungsmethode '!method' ist nicht unterstützt."
"Customweb_Subscription::The authorization was not successful","Autorisierungsfehler. Die Autorisierung war nicht erfolgreich."
"Customweb_Subscription::The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Der Kreditkartenanbieter wird anhand der Kartennummer falls Hidden Authorization benutzt wird. Wird die Zahlungsseite (Payment Page) benutzt, muss der Nutzer den Anbieter manuell auswählen. Über diese Einstellung können auch die akzeptierten Kreditkartenanbieter eingeschränkt werden."
"Customweb_Subscription::The brand with external name '!key' was not present in the map.","Der Kreditkartenbrand mit dem Namen '!key' konnte nicht zugeordnet werden."
"Customweb_Subscription::The brand with key '!key' was not found in the card information map.","Der Kreditkarten Brand mit dem '!key' wurde nicht gefunden in der Karteninformationsmap."
"Customweb_Subscription::The cancelation request has been received.","Die Kündigungs-Anfrage wurde erhalten."
"Customweb_Subscription::The cancellation could not be conducted. Error code: !error.","Die Stornierung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_Subscription::The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Der Verbuchungsbetrag von '!captureAmount' kann nicht grösser sein als der autorisierte Betrag von '!authorizedAmount'."
"Customweb_Subscription::The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der verbuchte Artikel mit der Bestandseinheit @sku hat einen höheren Wert (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"Customweb_Subscription::The capture item with SKU '@sku' is not present in the original order.","Der verbuchte Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht vorhanden."
"Customweb_Subscription::The capturing could not be conducted. Error code: !error.","Die Verbuchung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_Subscription::The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","Die Auswahl des Kartenanbieters wird abhängig von der eingegebenen Kartennummer automatisch durchgeführt. Falls JavaScript im Browser nicht aktiviert ist, wird ein Dropdown-Menü angezeigt. Ist JavaScript aktiv, können die Logos der Anbieter gezeigt werden, sofern die Image Brand Selection aktiviert ist."
"Customweb_Subscription::The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","Die Controller Class '@controller' bietet keine Methode mit der Beschriftung 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' und gültigem Output."
"Customweb_Subscription::The customer does not finish the payment with in the timeout.","Der Kunde hat die Zahlung nicht innerhalb des Timeouts abgeschlossen."
"Customweb_Subscription::The given CVC code has the wrong length.","Der angegebene CVC Code hat eine ungültige Länge."
"Customweb_Subscription::The given card number has an invalid check sum.","Die angegebene Kartennummer hat eine ungültige Check Summe."
"Customweb_Subscription::The given card number has an invalid length.","Die angegebene Kartennummer hat eine ungültige Länge."
"Customweb_Subscription::The given hmac key is empty.","Der HMAC Key ist ungültig."
"Customweb_Subscription::The given identifier is empty.","Der Identifier ist ungültig."
"Customweb_Subscription::The given password is empty.","Das Passwort ist ungültig."
"Customweb_Subscription::The given rang is empty. It must be a nummeric value with length of two.","Der gegebene Rang ist leer. Er muss eine zweistellige Nummer sein."
"Customweb_Subscription::The given rang is invalid. It must be a nummeric value with length of two.","Der gegebene Rang ist ungültig. Er muss eine zweistellige Nummer sein."
"Customweb_Subscription::The given site number is empty.","Es wurde keine Seitenzahl angegeben."
"Customweb_Subscription::The identifier as defined in the backoffice of ____paymentServiceProviderName____.","Der Identifier, wie er im ____paymentServiceProviderName____ Backoffice angegeben ist."
"Customweb_Subscription::The layout does not contain the tag '!layout_tag'.","Das Layout enhält nicht den Tag '!layout_tag'."
"Customweb_Subscription::The link is invalid or outdated.","Dieser Link ist ungültig oder veraltet"
"Customweb_Subscription::The next update execution date indicates when the next cron is run to update the transaction state.","Das nächste Ausführungsdatum für upades zeigt Ihnen an, wann der nächste cron für das Update des Transaktionsstatus läuft."
"Customweb_Subscription::The number of billing cycles the subscription will keep running after the cancelation is requested.","Anzahl Rechnungszyklen für welche das Abo weiterläuft nachdem die Kündigung angefragt wurde."
"Customweb_Subscription::The order has been captured.","Die Bestellung wurde erfasst."
"Customweb_Subscription::The order is not fully completed. Please contact the store owner.","Die Zahlung konnte nicht durchgeführt werden."
"Customweb_Subscription::The parameters ""3DSIGNVAL"" was false.","Der Parameter  ""3DSIGNVAL"" ist ungültig."
"Customweb_Subscription::The payment has been accepted.","Die Zahlung wurde akzeptiert"
"Customweb_Subscription::The payment has failed.","Die Zahlung ist fehlgeschlagen."
"Customweb_Subscription::The payment method !paymentMethodName does not support the currency '!currency'.","Die Zahlweise '!paymentMethodName' unterstützt die Währung '!currency' nicht."
"Customweb_Subscription::The payment method !paymentMethodName is not available in your country ('!country').","Die Zahlungsmethode '!paymentMethodName' ist in Ihrem Land ('!country') nicht verfügbar."
"Customweb_Subscription::The provided signature does not match with the one calculated.","Die eingegeben Signatur stimmt nicht mit der berechneten Signatur überein."
"Customweb_Subscription::The rang (PBX_RANG) as defined in the live backoffice of ____paymentServiceProviderName____. It must be nummeric value with length two. In the backoffice it may be displayed as a three char value. You must truncate the first digit.","Der Rang (PBX_RANG), wie er im Live Backoffice von ____paymentServiceProviderName_____ angegeben ist. Er muss eine zweistellige Nummer sein. Im Backoffice wird er eventuell als dreistelliger Wert angezeigt. Sie müssen die erste Ziffer streichen."
"Customweb_Subscription::The refund item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der zurückerstattete Artikel mit der Bestandseinheit @sku hat einen höheren Betrag (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"Customweb_Subscription::The refund item with SKU '@sku' is not present in the original order.","Der zurückerstattete Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht enthalten."
"Customweb_Subscription::The refunding could not be conducted. Error code: !error.","Die Rückerstattung konnte nicht durchgeführt werden. Fehlercode: !error."
"Customweb_Subscription::The signature could not be verified.","Die Signatur konnte nicht verifiziert werden."
"Customweb_Subscription::The site id (PBX_RANG) as defined in the backoffice of ____paymentServiceProviderName____.","Die Site ID (PBX_RANG) wie Sie im Backoffice von ____paymentServiceProviderName____ angegeben ist."
"Customweb_Subscription::The subscription cannot be authorized.","Das Abo kann nicht autorisiert werden."
"Customweb_Subscription::The subscription has been canceled.","Das Abo wurde gekündigt."
"Customweb_Subscription::The subscription plan was removed.","Der Abo-Plan wurde entfernt."
"Customweb_Subscription::The subscription status has been updated.","Der Abo-Status wurde aktualisiert."
"Customweb_Subscription::The subscriptions ends automatically after the above entered number of billing cycles.","Die Subscription endet automatisch nach der oben eingegebenen Anzahl Rechnungszyklen"
"Customweb_Subscription::The subscriptions have been deleted.","Das Abo wurde gelöscht."
"Customweb_Subscription::The subscriptions' statuses have been updated.","Der Status der Abos wurde akualisiert."
"Customweb_Subscription::The test cron runs every minute, always increasing the date by one day.","Der Test-Cron wird jede Minute ausgeführt und erhöht das Datum jedes Mal um einen Tag."
"Customweb_Subscription::The total refund amount (!totalRefundedAmount) cannot be greater than the captured amount (!capturedAmount).","Der Totale gutzuschreibende Betrag von '!totalRefundedAmount' kann nicht grösser sein als der verbuchte Betrag von '!capturedAmount'."
"Customweb_Subscription::The transaction failed with error code !code.","Die Transaktion ist fehlgeschlagen. Fehlermeldung: !code"
"Customweb_Subscription::The transaction is only executed in the test system. The goods should not be delivered.","Die Transaktion wird nur im Testsystem durchgeführt. Die Waren sollen nicht geliefert werden."
"Customweb_Subscription::The whole transaction is cancelled.","Die gesamte Transaktion wurde storniert."
"Customweb_Subscription::There are %s failed subscriptions.","Es hat %s fehlgeschlagene Abos."
"Customweb_Subscription::There are no applicable payment methods.","Es gibt keine verfügbaren Zahlungsarten."
"Customweb_Subscription::There are no orders yet.","Es gibt noch keine Bestellungen."
"Customweb_Subscription::There are no subscription cart plans.","Es gibt keine Warenkorb-Abonnements."
"Customweb_Subscription::There are no subscription plans.","Es gibt keine Abo-Pläne"
"Customweb_Subscription::There are no subscriptions yet.","Es gibt noch keine Abonnements."
"Customweb_Subscription::There are outdated subscriptions. Please update immediately.","Einige Abos sind nicht mehr gültig. Bitte aktualisieren Sie diese so schnell wie möglich."
"Customweb_Subscription::There is a failed subscription.","Es gibt ein fehlgeschlagenes Abo."
"Customweb_Subscription::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the ____paymentServiceProviderName____ account.","Dieses Passwort wird für wiederkehrende Zahlungen sowie für den Alias Manager und die Service Autorisierung benutzt. Dies ist das Passwort für den ____paymentServiceProviderName____ Account."
"Customweb_Subscription::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Anhand dieser Einstellung können Sie die 3D Secure Überprüfung aktivieren bzw. deaktivieren. Bitte fragen Sie bei Paybox an, ob sie 3D Secure deaktivieren dürfen. Diese Einstellung ist nur relevant, wenn Sie Payment Page benutzen."
"Customweb_Subscription::This status is set, when the payment was successfull and it is authorized.","Dieser Status wird vergeben, wenn eine Zahlung erfolgreich war und autorisiert wurde."
"Customweb_Subscription::This subscription no longer exists.","Dieses Abo gibt es nicht mehr."
"Customweb_Subscription::This subscription status cannot be changed from <em>%s</em> to <em>%s</em>.","Dieser Abo-Status kann nicht von <em>%s</em> auf <em>%s</em> geändert werden."
"Customweb_Subscription::This transaction is already closed for further captures.","Diese Transaktion ist bereits geschlossen und es können keine weiteren Buchungen vorgenommen werden."
"Customweb_Subscription::This transaction is already closed for further refunds.","Diese Transaktion wurde für weitere Gutschriften bereits geschlossen."
"Customweb_Subscription::Time Before Due Date","Zeit bis zum Fälligkeitsdatum"
"Customweb_Subscription::Time Unit","Zeiteinheit"
"Customweb_Subscription::Titel","Titel"
"Customweb_Subscription::Title of the payment method","Name der Zahlungsmethode"
"Customweb_Subscription::Total","Total"
"Customweb_Subscription::Total Recurring Amount","Totaler wiederkehrender Betrag"
"Customweb_Subscription::Transaction Authorized","Transaktion autorisiert"
"Customweb_Subscription::Transaction Cancelled","Transaktion storniert"
"Customweb_Subscription::Transaction Captured","Transaktion verbucht"
"Customweb_Subscription::Transaction Paid","Transaktion bezahlt"
"Customweb_Subscription::Transaction Uncertain","Transaktion ist unsicher"
"Customweb_Subscription::Transaction Updates","Transaktionsupdates"
"Customweb_Subscription::Type","Typ"
"Customweb_Subscription::Uncertain Status","Unsicherer Status"
"Customweb_Subscription::Unit for billing during the subscription period.","Einheit für die Rechnungsstellung während der Abo-Periode."
"Customweb_Subscription::Update","Update"
"Customweb_Subscription::Update Attributes","Attribute aktualisieren"
"Customweb_Subscription::Update Email Template","E-mail Template 'Aktualisieren'"
"Customweb_Subscription::Use Default","Standardeinstellungen benutzen"
"Customweb_Subscription::VISA","VISA"
"Customweb_Subscription::Version","Version"
"Customweb_Subscription::View","Anzeigen"
"Customweb_Subscription::View list","Liste anzeigen"
"Customweb_Subscription::Visibility","Sichtbarkeit"
"Customweb_Subscription::Websites","Websites"
"Customweb_Subscription::Week","Woche"
"Customweb_Subscription::When the store is not available (network outage, server failure or any other outage), when the feedback of ____paymentServiceProviderName____ is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Wenn der Shop nicht erreichbar ist (Netzwerk- Serverausfall o.ä.) während das Feedback von  ____paymentServiceProviderName____ gesendet wird, wird der Transaktionsstatus nicht aktualisiert. Daher wird keine Bestätigungsmail für die Bestellung verwand und die Bestellung hat noch nicht den Status ""bezahlt"". Indem Sie Transaktionsupdates aktivieren, können solche Transaktionen über einen direkten Link aktualisiert werden. Um diesen Service zu nutzen, muss der Update Service aktiviert sein und der API Nutzername sowie das Passwort müssen festgelegt sein."
"Customweb_Subscription::Whether to use a fixed shipping amount or calculate it dynamically.","Möchten Sie einen fixen oder einen dynamisch berechneten Versandkostenbetrag?"
"Customweb_Subscription::Would you like to allow customers to create a subscription of their whole cart?","Möchten Sie den Kunden die Möglichkeit geben, den ganzen Warenkorb zu abonnieren?"
"Customweb_Subscription::Would you like to purchase this cart as a subscription?","Möchten Sie diesen Warenkorb als Abo kaufen?"
"Customweb_Subscription::Year","Jahr"
"Customweb_Subscription::Yes","Ja"
"Customweb_Subscription::Yes, use images for the brand selection.","Logos für die Auswahl des Kartenanbieters benutzen."
"Customweb_Subscription::You can specify the order status for new orders that have an uncertain authorisation status.","Sie können den Status von Bestellungen mit unsicherem Autorisationsstatus definieren."
"Customweb_Subscription::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Sie können den Status von Bestellungen definieren, die entwerder direkt anch der Bestellung oder manuell im Backend verbucht werden."
"Customweb_Subscription::You can specify the order status when an order is cancelled.","Sie können den Status von abgebrochenen Bestellungen definieren."
"Customweb_Subscription::You cannot access this subscription.","Sie können nicht auf dieses Abo zugreifen."
"Customweb_Subscription::You do not define any plan for this subscription.","Sie definieren für dieses Abonnement keinen Plan."
"Customweb_Subscription::You have to enter a card number.","Sie müssen eine Kartennummer eingeben"
"Customweb_Subscription::You have to enter bank code of your bank.","Sie müssen den Bankcode Ihrer Bank eingeben"
"Customweb_Subscription::You have to enter commercial number of you company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Customweb_Subscription::You have to enter either the CVC code or the issue number of your card.","Bitte geben Sie entweder den CVC oder die Ausgabenummer Ihrer Karte ein."
"Customweb_Subscription::You have to enter sales tax number of you company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Customweb_Subscription::You have to enter sales tax number of your company.","Bitte geben Sie die Umsatzsteuer-Identifikationsnummer ein."
"Customweb_Subscription::You have to enter the BIC.","Sie müssen die BIC eingeben."
"Customweb_Subscription::You have to enter the CVC code from your card.","Sie müssen den CVC Ihrer Karte eingeben."
"Customweb_Subscription::You have to enter the IBAN.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"Customweb_Subscription::You have to enter the account holder name on the card.","Sie müssen den Kontoinhaber angeben."
"Customweb_Subscription::You have to enter the account holder name.","Bitte geben Sie den Kontoinhaber an."
"Customweb_Subscription::You have to enter the card holder name on the card.","Bitte geben Sie den Namen des Karteninhabers ein"
"Customweb_Subscription::You have to enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Customweb_Subscription::You have to enter the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Customweb_Subscription::You have to enter the name of your bank.","Sie müssen den Namen Ihrer Bank eingeben."
"Customweb_Subscription::You have to enter your IBAN Number.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"Customweb_Subscription::You have to enter your bank account number.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Customweb_Subscription::You have to enter your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Customweb_Subscription::You may choose one of the cards you paid before on this site.","Sie können aus einer der bereits gespeicherten Karten auswählen."
"Customweb_Subscription::You selected this subscription plan:","Sie haben diesen Abo-Plan gewählt:"
"Customweb_Subscription::You subscribed to the plan <em>%s</em>.","Sie haben sich für den Plan <em>%s</em> angemeldet."
"Customweb_Subscription::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Ihr Browser hat keine JavaScript Unterstützung. Bitte aktivieren Sie JavaScript oder wechseln Sie den Browser."
"Customweb_Subscription::customweb ltd","customweb GmbH"
"Customweb_Subscription::no","Nein"
"Customweb_Subscription::yes","Ja"
